num:[2862, 3492, 4272, 3673, 864, 759, 4658, 3892]
c:[0, 3, 4, 5, 6, 7, 8, 9]
num:[4026, 3002, 3003, 4400, 4572, 2708, 3248, 4498]
c:[0, 1, 3, 5, 6, 7, 8, 9]
num:[1077, 3608, 2606, 3803, 3774, 2682, 929, 912]
c:[0, 2, 3, 4, 6, 7, 8, 9]
num:[1916, 4784, 3297, 4661, 2309, 4007, 3959, 499]
c:[1, 2, 3, 5, 6, 7, 8, 9]
num:[363, 4888, 3213, 4592, 1239, 1529, 2657, 1799]
c:[0, 1, 2, 3, 4, 5, 7, 8]
num:[3004, 184, 4289, 3505, 2687, 2750, 2776, 4506]
c:[0, 1, 3, 4, 5, 6, 7, 9]
num:[4965, 875, 3935, 1965, 3005, 1372, 1566, 4647]
c:[0, 1, 3, 4, 6, 7, 8, 9]
num:[893, 2198, 2263, 4256, 4160, 4259, 3335, 2377]
c:[1, 2, 3, 5, 6, 7, 8, 9]
num:[594, 568, 4831, 2247, 2687, 4229, 4633, 202]
c:[0, 1, 2, 3, 4, 5, 6, 9]
num:[3921, 22, 4354, 1825, 523, 742, 3579, 4568]
c:[1, 2, 4, 5, 6, 7, 8, 9]
num:[4146, 30, 1499, 2438, 4742, 4850, 4111, 365]
c:[0, 1, 2, 3, 4, 5, 6, 9]
num:[3164, 1235, 1830, 1665, 420, 899, 4740, 3377]
c:[0, 1, 2, 3, 5, 6, 7, 9]
num:[1013, 1448, 2037, 452, 1008, 740, 2725, 852]
c:[1, 2, 3, 4, 5, 6, 8, 9]
num:[2896, 1590, 708, 2638, 193, 1056, 3663, 1183]
c:[0, 2, 3, 4, 5, 6, 8, 9]
num:[1482, 2982, 1959, 2616, 2351, 2100, 3901, 3326]
c:[0, 1, 2, 3, 4, 5, 6, 7]
num:[4307, 3028, 4918, 3521, 387, 1081, 1895, 1716]
c:[0, 1, 2, 3, 4, 5, 6, 8]
num:[2562, 2615, 451, 2462, 3133, 658, 3399, 591]
c:[1, 2, 3, 4, 6, 7, 8, 9]
num:[3781, 1499, 1740, 1293, 3645, 559, 849, 1960]
